/Users/jay/Documents/PacketIQ/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
python-dotenv    1.2.1   GHSA-mf9w-mj56-hr94 1.2.2
python-multipart 0.0.20  GHSA-wp53-j4wj-2cfg 0.0.22
python-multipart 0.0.20  GHSA-mj87-hwqh-73pj 0.0.26
python-multipart 0.0.20  GHSA-pp6c-gr5w-3c5g 0.0.27
python-multipart 0.0.20  GHSA-v9pg-7xvm-68hf 0.0.31
python-multipart 0.0.20  GHSA-5rvq-cxj2-64vf 0.0.30
python-multipart 0.0.20  GHSA-6jv3-5f52-599m 0.0.30
requests         2.32.5  GHSA-gc5v-m9x4-r6x2 2.33.0
starlette        0.49.3  PYSEC-2026-161      1.0.1
starlette        0.49.3  PYSEC-2026-249      1.3.1
starlette        0.49.3  PYSEC-2026-248      1.3.0
starlette        0.49.3  GHSA-wqp7-x3pw-xc5r 1.1.0
starlette        0.49.3  GHSA-x746-7m8f-x49c 1.1.0
urllib3          2.6.3   PYSEC-2026-142      2.7.0
urllib3          2.6.3   PYSEC-2026-141      2.7.0
